timestamp,pressure_hPa,relative_altitude_m
2025-09-10T08:34:55Z,1009.9,2.066
2025-09-10T08:34:56Z,1009.9,2.090
2025-09-10T08:34:57Z,1009.9,2.122
2025-09-10T08:34:58Z,1009.9,2.143
2025-09-10T08:34:59Z,1009.9,2.151
2025-09-10T08:35:00Z,1009.9,2.167
2025-09-10T08:35:01Z,1009.9,2.190
2025-09-10T08:35:02Z,1009.9,2.227
2025-09-10T08:35:04Z,1009.9,2.251
2025-09-10T08:35:05Z,1009.9,2.280
2025-09-10T08:35:06Z,1009.9,2.291
2025-09-10T08:35:07Z,1009.9,2.299
2025-09-10T08:35:08Z,1009.9,2.299
2025-09-10T08:35:09Z,1009.9,2.283
2025-09-10T08:35:10Z,1009.9,2.275
2025-09-10T08:35:11Z,1009.9,2.272
2025-09-10T08:35:12Z,1009.9,2.241
2025-09-10T08:35:13Z,1009.9,2.214
2025-09-10T08:35:14Z,1009.9,2.188
2025-09-10T08:35:15Z,1009.9,2.156
2025-09-10T08:35:16Z,1009.9,2.122
2025-09-10T08:35:18Z,1009.9,2.111
2025-09-10T08:35:19Z,1009.9,2.087
2025-09-10T08:35:20Z,1009.9,2.058
2025-09-10T08:35:21Z,1009.9,2.040
2025-09-10T08:35:22Z,1009.9,2.019
2025-09-10T08:35:23Z,1009.9,1.995
2025-09-10T08:35:24Z,1009.9,1.995
2025-09-10T08:35:25Z,1009.9,1.992
2025-09-10T08:35:26Z,1009.9,2.000
2025-09-10T08:35:27Z,1009.9,2.000
2025-09-10T08:35:28Z,1009.9,2.003
2025-09-10T08:35:29Z,1009.9,2.003
2025-09-10T08:35:30Z,1009.9,2.000
2025-09-10T08:35:32Z,1009.9,2.000
2025-09-10T08:35:33Z,1009.9,2.000
2025-09-10T08:35:34Z,1009.9,2.003
2025-09-10T08:35:35Z,1009.9,2.003
2025-09-10T08:35:36Z,1009.9,2.032
2025-09-10T08:35:37Z,1009.9,2.058
2025-09-10T08:35:38Z,1009.9,2.082
2025-09-10T08:35:39Z,1009.9,2.082
2025-09-10T08:35:40Z,1009.9,2.093
2025-09-10T08:35:41Z,1009.9,2.093
2025-09-10T08:35:42Z,1009.9,2.077
2025-09-10T08:35:43Z,1009.9,2.043
2025-09-10T08:35:44Z,1009.9,2.027
2025-09-10T08:35:46Z,1009.9,1.979
2025-09-10T08:35:47Z,1009.9,1.953
2025-09-10T08:35:48Z,1009.9,1.953
2025-09-10T08:35:49Z,1009.9,1.961
2025-09-10T08:35:50Z,1009.9,2.006
2025-09-10T08:35:51Z,1009.9,2.090
2025-09-10T08:35:52Z,1009.9,2.172
2025-09-10T08:35:53Z,1009.9,2.267
2025-09-10T08:35:54Z,1009.9,2.365
2025-09-10T08:35:55Z,1009.9,2.460
2025-09-10T08:35:56Z,1009.8,2.558
2025-09-10T08:35:57Z,1009.8,2.663
2025-09-10T08:35:58Z,1009.8,2.753
2025-09-10T08:35:59Z,1009.8,2.838
2025-09-10T08:36:01Z,1009.8,2.899
2025-09-10T08:36:02Z,1009.8,2.899
2025-09-10T08:36:03Z,1009.8,2.899
2025-09-10T08:36:04Z,1009.8,2.854
2025-09-10T08:36:05Z,1009.8,2.764
2025-09-10T08:36:06Z,1009.8,2.703
2025-09-10T08:36:07Z,1009.8,2.650
2025-09-10T08:36:08Z,1009.8,2.616
2025-09-10T08:36:09Z,1009.8,2.608
2025-09-10T08:36:10Z,1009.8,2.603
2025-09-10T08:36:11Z,1009.8,2.582
2025-09-10T08:36:12Z,1009.9,2.497
2025-09-10T08:36:13Z,1009.9,2.378
2025-09-10T08:36:15Z,1009.9,2.246
2025-09-10T08:36:16Z,1009.9,2.143
2025-09-10T08:36:17Z,1009.9,2.056
2025-09-10T08:36:18Z,1009.9,2.032
2025-09-10T08:36:19Z,1009.9,2.032
2025-09-10T08:36:20Z,1009.9,2.072
2025-09-10T08:36:21Z,1009.9,2.109
2025-09-10T08:36:22Z,1009.9,2.143
2025-09-10T08:36:23Z,1009.9,2.172
2025-09-10T08:36:24Z,1009.9,2.172
2025-09-10T08:36:25Z,1009.9,2.172
2025-09-10T08:36:26Z,1009.9,2.164
